virus_id	dataset	sample_id	phase1_pairs	phase1_total_reads	phase1_mapped_primary_reads	phase1_viral_fraction	selected_top_n	phase2_status	phase2_pairs	phase2_tss_coord	phase2_error
EEEV	mouse_eeev	43600	100000	200000	54721	0.27360500	yes	selected	1000000	7556	
EEEV	mouse_eeev	257	100000	200000	30961	0.15480500	yes	selected	1000000	7550	
EEEV	mouse_eeev	274	100000	200000	27721	0.13860500	yes	selected	1000000	7549	
EEEV	mouse_eeev	42900	100000	200000	24827	0.12413500	yes	selected	1000000	7556	
EEEV	mouse_eeev	259	100000	200000	21240	0.10620000	yes	selected	1000000	7550	
EEEV	mouse_eeev	275	100000	200000	20272	0.10136000	no	not_selected			
EEEV	mouse_eeev	276	100000	200000	20067	0.10033500	no	not_selected			
EEEV	mouse_eeev	43500	100000	200000	15504	0.07752000	no	not_selected			
EEEV	mouse_eeev	43400	100000	200000	11582	0.05791000	no	not_selected			
EEEV	mouse_eeev	260	100000	200000	10946	0.05473000	no	not_selected			
EEEV	mouse_eeev	258	100000	200000	8322	0.04161000	no	not_selected			
EEEV	mouse_eeev	244	100000	200000	5845	0.02922500	no	not_selected			
EEEV	mouse_eeev	241	100000	200000	3032	0.01516000	no	not_selected			
EEEV	mouse_eeev	243	100000	200000	1545	0.00772500	no	not_selected			
EEEV	mouse_eeev	43200	100000	200000	909	0.00454500	no	not_selected			
EEEV	mouse_eeev	441	100000	200000	593	0.00296500	no	not_selected			
EEEV	mouse_eeev	273	100000	200000	66	0.00033000	no	not_selected			
EEEV	mouse_eeev	43100	100000	200000	36	0.00018000	no	not_selected			
EEEV	mouse_eeev	42600	100000	200000	30	0.00015000	no	not_selected			
EEEV	mouse_eeev	225	100000	200000	16	0.00008000	no	not_selected			
EEEV	mouse_eeev	228	100000	200000	8	0.00004000	no	not_selected			
EEEV	mouse_eeev	208	100000	200000	6	0.00003000	no	not_selected			
EEEV	mouse_eeev	457	100000	200000	4	0.00002000	no	not_selected			
EEEV	mouse_eeev	227	100000	200000	2	0.00001000	no	not_selected			
EEEV	mouse_eeev	213	100000	200000	2	0.00001000	no	not_selected			
EEEV	mouse_eeev	476	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	475	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	474	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	473	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	460	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	459	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	458	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	444	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	443	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	442	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	43300	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	43000	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	42800	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	428	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	42700	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	427	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	426	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	42500	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	425	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	42400	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	42300	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	42200	100000	200000	0	0.00000000	no	not_selected			
EEEV	mouse_eeev	42100	100000	200000	0	0.00000000	no	not_selected			
